Timestamp,What is your age limit?,What genres game do you like?,How long do you play games in average?,Please select your internet speed.,Can you please select the GPU that you are currently using?,"Can you please select an estimate of your monthly gaming cost(Including purchasing Game and Game Items , In app Purchase, And Net Bill)?",What is your preferred CPU model?,What do you seek in a game?,What is your RAM size?,Preference
10/8/2020 18:33:46,16-28,Adventure games.,1-1.5 hours,25mbps,"RX500 series (Could be 590,580,570,560,550)",500-2k (BDT),AMD (Ryzen),Story,8GB,Medium
10/8/2020 18:35:39,16-28,Action-adventure games.,4-5hours,50mbps,AMD Vega series GPU,7-9k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/8/2020 18:35:49,,,,,,,,,,
10/8/2020 18:42:20,16-28,Action games.,2-3hours,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,Story,16GB,High
10/8/2020 18:58:42,16-28,Action-adventure games.,2-3hours,15mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,8GB,High
10/8/2020 19:30:36,16-28,Action games.,4-5hours,20mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/8/2020 19:40:02,16-28,Action games.,2-3hours,20mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,16GB,Low
10/8/2020 19:48:08,16-28,Action games.,30-50min,5mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,4GB,Low
10/8/2020 19:57:00,16-28,Adventure games.,4-5hours,5mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )",500-2k (BDT),AMD (Ryzen),Story,8GB,Medium
10/8/2020 20:04:14,16-28,Action-adventure games.,4-5hours,15mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,Way to pass time,16GB,High
10/8/2020 20:07:24,16-28,Action games.,4-5hours,25mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/8/2020 20:09:16,16-28,Action games.,2-3hours,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/8/2020 20:09:42,16-28,Adventure games.,2-3hours,20mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)",500-2k (BDT),AMD (Ryzen),Story,16GB,High
10/8/2020 20:11:55,16-28,Role-playing games.,2-3hours,20mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,"Thrill (Online games mostly FPS,TPS)",12GB,Very High
10/8/2020 20:12:26,16-28,Action-adventure games.,2-3hours,20mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,Story,16GB,Low
10/8/2020 20:13:18,16-28,,2-3hours,10mbps,"RX500 series (Could be 590,580,570,560,550)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,8GB,Medium
10/8/2020 20:20:20,16-28,Action-adventure games.,30-50min,5mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,4GB,Low
10/8/2020 20:24:37,16-28,Action-adventure games.,1-1.5 hours,20mbps,Lower,500-2k (BDT),AMD (Ryzen),Story,8GB,Low
10/8/2020 20:26:06,16-28,Role-playing games.,4-5hours,40mbps,"RX500 series (Could be 590,580,570,560,550)",500-2k (BDT),AMD (Ryzen),Way to pass time,16GB,Medium
